cancer有啲都有得医嘅	有些癌症还是可以治的
呢个系我哋自己事	这是我们自己的事
呢个系我屋企嘅全家福	这是我们的全家照
呢个系我细佬	这个是我弟弟
呢个系新牌子	这是新牌子
呢个僆仔做嘢好冇心机	这小子干活很不专心
呢个唔转唔得	这个不转发不行
呢个问题仲真系未谂过	这个问题还真是没想过
呢个问题佢咪得好深	这个问题他钻研得很深
呢个问题我可不可以唔答你呀？	这个问题我可不可以不回答你？
呢个问题正话研究紧	这个问题正在研究
呢个问题睇嚟仲有得拗	这个问题看来还有一番争论
呢个问题双方一定会有争拗	关于这个问题，双方一定会争执不下
呢个问题，大家都冇意见	这个问题，大家都没意见
呢个啤啤仔好得意	这个小孩很可爱
呢个单字系噉样串法	这个单字是这样拼的
呢个喺广东话点讲呀？	这个广东话怎么说？
呢个嘢好弊	这个家伙很坏
呢个嘢好恶㗎，生人勿近呀	这个家伙凶着呢，不要惹他
呢个嘢牙尖嘴利，边个都怕咗佢	这家伙尖嘴薄舌，谁都怕他
呢个嘢真唔听话	这家伙真不听话
呢个团有得去浸温泉又几盏㖞	参加这个旅行团可以去泡温泉，挺惬意的
呢个地方觉痛	这个地方觉得疼
呢个场馆一年有十几个大骚	这个场馆一年有十几场大型演出
呢个坏蛋扭咗人哋好多钱	这个坏蛋诈了人家很多钱
呢個壺外皮都唔錯	这个壶表面很不错
呢个壶斟满咗有五斤度啦	这个壶倒满了有五斤左右吧
呢个大声公，嗌到声都沙埋	这个大嗓门儿，嗓子都喊哑了
呢个套餐set好咗唔可以改㗎	这种饭菜是预配好了的，不能改的
呢个女人出咗名烂㗎喇！	这女人谁都知道她是个无赖！
呢个女仔好标青	这姑娘貌美出众
呢个女仔好纯情	这个女孩很纯真
呢个女仔真系密实嘅啫，坐咁耐唔见佢讲句话	这女孩子真是不爱说话，坐那么久没见她说过一句话
呢个女咁眼浅嘅，一话就喊	这个女孩这么小气，一说她就哭
呢个女好巴揸	这个女孩很爱管闲事
呢个女好聪明	这个女孩很聪明
呢个字写得啱唔啱？	这个字写得对不对？
呢个字点写？	这个字怎么写？
呢个学生好醒	这个学生很聪明伶俐
呢个学生真叻，一点就明	这个学生真聪明，一说就明白
呢个客好麻烦，一定要你至冧得掂	这个顾客很难伺候，一定要你来才哄得住他
呢个富商身家有几十亿	这个富商资产也有几十个亿
呢个就系我畀你嘅手信	这个是我送给你的礼物
呢个工程仲有啲手尾	这项工程还有些没有完的工作
呢个工程师好使得	这位工程师很能干
呢个工程师确实有料	这位工程师确实有才学
呢个师傅做嘢好落力	这个师傅做事很卖力
呢个建议为国家悭咗几万蚊	这个建议为国家节约了几万元
呢个后生仔好挨得	这个小伙子很能吃苦
呢个后生仔好精叻㗎	这个年轻人很聪明能干
呢个我嚟安排啦，你哋唔使担心	这个我来安排，你们不用担心
呢个我好似睇过	这个我好像看过
呢个我好似睇过，不过唔记得咗系咩片	这个我好像看过，不过忘了是什么片
呢个房约莫有十五平方	这个房间大概有十五平方米
呢个房间好罨汁	这间屋子又窄又不整洁
呢个打字员打字好快脆，一阵间就打好咗	这个打字员打字很快，一会儿就打好了
呢个抵死友冇句好话	这个缺德鬼没句好话
呢个故事令我谂通啲问题嘅疑惑	这个故事让我想通一些问题的疑惑
呢个故仔好趣怪	这个故事很有趣
呢个新闻系咪好耐之前㗎	这个新闻是不是很久以前的了
呢个会议系极之重要嘅	这个会议是极其重要的
呢个月台系唔系去广州呀㗎？	这是去广州的站台吗？
呢个月嘅奖金冇嘢到	这个月奖金很少
呢个木瓜仲生勾勾，点会甜呀？	这个木瓜还不熟，怎么会甜呢？
呢个桶有漏罅，要整咯	这个桶有漏缝儿，要修理了
呢个机会唔好嘥吖	这个机会不要错过了！
呢个档口卖乜嘢？	这个摊子卖什么？
呢个柜斗得够晒硬净喇	这柜子做得够结实的了
呢个款唔啱你着	这种款式的衣服不适合你穿
呢个水库最益呢条村咯	这个水库对这条村益处最大
呢个海滩有鲨鱼出没，好得人惊	这个海滩有鲨鱼出没，好可怕
呢个烂盆掉咗佢罢啦	这个破盆子把它扔了算了
呢个玩具有出厂证明书，包冇花假	这个玩具有产品说明书，保证不是假冒的
呢个班得五个人报名咋？	这个班才五个人报名吗？
呢个球队冇得顶	这个球队没有人是对手
呢个病人屙得好交关	这个病人腹泻很严重
呢个发明几有创意吓	这个发明挺有创意的
呢个相影得太肉酸	这张照片照得太难看
呢个看护服务态度好，冇得弹	这个护士服务态度好，没什么可挑剔的
呢个真系呢排见过最好笑嘅图	这个真的是最近看过最好笑的图片
呢个睇落唔错	这个看上去不错
呢个礼堂有冇人打理？	这个礼堂有没有人管理？
呢个窗向西，下昼西斜	这个窗户朝西，下午西晒
呢个箱唔责得	这个箱子不能压
呢个篮球唔够衡	这个篮球不够胀
呢个篮织得好幼细	这个篮子编得很精细
呢个细佬仔有啲黐脷筋	这孩子说话有点儿大舌头
呢个细佬哥好叻	这个小朋友真棒
呢个细佬哥好百厌，成日畀人闹	这个小孩儿很淘气，整天让人骂
呢个细佬哥无端端喊起上嚟	这个小孩无缘无故地哭起来
呢个细蚊仔唔系几择食	这个小孩不怎么挑吃
呢个细蚊仔好反瞓	这个孩子睡觉很不老实
呢个细蚊仔好得意	这个小娃娃真可爱
呢个细蚊仔成日发吽哣，系唔系想作病呀？	这个小孩整天发呆，是不是想生病？
呢个细蚊仔正一系扭计祖宗嚟㗎	这孩子是个十足的淘气鬼
呢个细路仔好曳嘅	这个小孩挺淘气的
呢个细路仔好精㗎	这个小朋友很机灵
呢个细路仔有啲神神地	这个孩子有点神经失常
呢个细路仔眞系唔听话，认眞百厌！	这个小孩子眞是不听话，十分调皮！
呢个细路仔肥过头	这个小孩太胖了
呢个细路女好抵得痛，躀跤都唔喊	这个女孩儿很禁得住疼，摔跤了也不哭
呢个细路好硬颈嘅	这孩子很倔
呢个细路真系得意	这小孩真好玩儿
呢个细路读书好叻	这个小孩读书挺聪明的
呢个组合唔错呀！	这个组合不错了！
呢个罐口得好密实	这个罐子盖得挺严实的
呢个罪名系你哋安畀我嘅，我冇做过	这个罪名是你们硬栽给我的，我没做过
呢个罪名系班差佬砌出嚟嘅，我冇做过	这个罪名是那帮警察编造出来的，我没做过
呢个老板仲欠伙记三个月人工	这老板还欠伙记三个月工钱
呢个肥妹仔好得意	这小胖妞儿很讨人喜欢
呢个臊虾仔仲未改名	这个婴儿还没有起名
呢个臊虾仔咁啰挛，梗系有病嘞	这小婴儿闹得那么厉害，肯定是有病了
呢个铺头一日要做一万蚊生意先够皮	这家店每天要做一万块钱的生意才够本
呢个航班要飞几耐呀？	这班飞机要飞多久？
呢个英文字我唔识解	这个英文单词我不明白
呢个茶壶几好款	这个茶壶样式不错
呢个衰仔喺班入便系头号搅屎棍	这臭小子是班里头号刺儿头
呢个计划最悭㗎喇	这个计划是最节省的了
呢个计划有谂头㗎	这个计划有值得考虑之处呢
呢个课程系为旅游业度身订造嘅	这门课程是根据旅游专业的特点特别设计的
呢个卖鱼佬好鬼马，唔好帮衬他	这个卖鱼的人很狡猾，不要光顾他
呢个车卡人好多	这个车厢人很多
呢个车辘撞到殽框	这个车轮被撞得变了形
呢个办法就一定得？我唔系噉谂噃	这个办法就一定行？我不是这么认为
呢个办法最着数	这个办法最合算
呢个运动员真系长气袋，跑一万米都唔嗦气	这个运动员真有气儿，跑一万米也不觉得气喘
呢个酒会招呼嘅都系啲大粒佬	这个酒会招待的全是上层人物
呢个重任我交咗畀细佬	这个重任我交给了我弟弟
呢个钻石心口针好值钱㗎	这枚钻石胸针挺值钱的
呢个队的确系几强个噃	这个队的确很强
呢个队边个话事？	这个队谁作主？
呢个露台系僭建嘅	这个阳台是违章建筑的
呢个青年仔好驯品	这个小伙子性情很温和
呢个项目系佢跟嘅	这个项目是他负责的
呢停人冇个好嘅	这路人没一个好的
呢停唔错	这个品种不错
呢停木做家俬会殽嘅	这种木头做家具会翘棱的
呢停玩具整得真鬼马	这种玩具做得真技巧逗人
呢停玩具整得真鬼马	这种玩具做得真机巧逗人
呢停谷种好	这种稻种好
呢停纸真流口水	这种纸质量真差
呢停绸仔好软熟	这种丝绸很柔软
呢两个系孖仔	这两个是孪生兄弟
呢两年佢大个咗好多	这两年他长大了很多
呢两日你觉点呀	这两天你觉得怎么样？
呢两日冻得交关	这两天冷得厉害
呢两日回南，地都湿晒	这两天刮南风反潮，地有点湿
呢两日我荷包糠糠哋，唔买住啦	这两天我身边没有现钱，先不买了
呢两日有啲躁，坐唔落嚟做嘢	这两天有点烦躁，坐不下来做事情
呢两日认真热	这两天真是热
呢两日食乜都唔开胃嘅	这两天吃什么东西都没胃口
呢两朝又冷又盛	这两天早上又冷又什么的
呢两条柱有五揇阔	这两根柱子距离有五步宽
呢两样嘢都唔挐耕嘅	这两样东西毫不相干的
呢两碟帮我打包吖	这两盘菜给我包起来吧
呢出戏闷到死	这出戏沉闷得要命
呢出戏真爆棚	这出戏真卖座
呢匀冇你搅唔掂，真系多得晒！	这一回没有你可玩不转，真是太谢谢了！
呢匀唔好又搅衰咗呀喇！	这一回别又弄糟了啊！
呢匀就正一系恶搅嘞！	这回就真的是难搞了！
呢匀得米嘞	这回得手了
呢匀我啲钱冻过水嘞	这次我的钱恐怕收不回来了
呢匀死火嘞，唔记得带飞机票添	这回糟了，忘了带飞机票
呢匀畀佢威到尽嘞	这趟让他威风透了
呢匀真系死人兼冧屋嘞	这回真是祸不单行啊。
呢匀舒服晒嘞	这一回可舒服了
呢匀要班兵至搅得掂嘞	这回要请人帮忙才成了
呢匀都冇白行，总算系有嘢到	这次没白走一趟，总算有收获
呢包嘢包得散收收，叫人点拎呢！	这包东西包得松松散散，叫人怎么拿呢！
呢包书趸喺你度先	这包书先放在你这里
呢包行李放落你度先	这包行李先放在你这里
呢包饼你同细佬两份食啦！	这包饼你和弟弟一起吃吧！
呢句好笑过幅图	这句话比那图片还好笑
呢句最啱听	这句话最中听
呢句至啱听	这句话最中听
呢句话你实牙实齿讲过	这句话你确确实实说过的
呢只猪烂食，大得快	这头猪爱吃食，长得快
呢只鸡公最烂打	这只公鸡最好斗
呢味嘢你真系得啦	你可真行
呢味嘢唔系好啱我㗎	这种事情不太适合我
呢味嘢得人怕	这样的事情实在使人害怕
呢味嘢真系畀佢考起	这玩意真把我问住了
呢味餸未食过	这种菜没有吃过
呢啖气我鲠唔落	这口气我咽不下
呢啲不明不白嘅钱，我使都使得唔安乐	这些来历不明的钱，我花也花得不放心
呢啲事你谂你嘞	这些事情你自己拿主意好了
呢啲事好恶讲	这些事很难说
呢啲事由得佢喇，何必咁啰气！	这些事随便它吧，何必这么劳神！
呢啲事睬佢都傻	这类事情不用管它
呢啲事都睇到化咯	这些事情都看透了
呢啲人同佢发嬲，都嘥气啦	跟这些人生气也没用
呢啲系cheap嘢嚟啫	这些都是便宜货
呢啲系乜嘢？	这些是什么？
呢啲系人哋嘅事，唔使你噏三噏四	这是人家的事，你不要瞎评论
呢啲系今日啱啱出炉嘅点心	这些是今天刚出炉的点心
呢啲系你兑换嘅人民币，总共八千蚊，请你数吓	这些是您兑换的人民币，总共八千元，请您点一下
呢啲系小事情，唔使睇得咁巴闭	这些是小事情，不必看得那么严重
呢啲系懒佬工夫，边个都做得	这是容易干的活儿，谁干都可以
呢啲系我嘅职责	这是我的职责
呢啲系我应份做嘅	这些是我应该做的
呢啲系朱义盛嚟㗎	这些是冒牌货
呢啲系正英德红茶	这是地道的英德红茶
呢啲系虾饺同埋春捲	这些是虾饺和春卷
呢啲先叫唱歌	这才叫做唱歌
呢啲冷好靓	这些毛线很漂亮
呢啲嘢一脚踢买晒佢啦！	这些东西全部买去吧！
呢啲嘢一蚊两斤，抵到烂啦	这些东西一元两斤，太便宜了
呢啲嘢你睇得上眼吗？	这些东西你看得上眼吗？
呢啲嘢冇得弹	这些东西没有说的
呢啲嘢冇用㗎喇，帮我擗晒佢啦	这些东西没用了，给我全扔了吧
呢啲嘢咁牙烟，系人都唔制喇	这些事这么危险，谁都不愿意干呐
呢啲嘢唔等使嘅	这些东西没有用
呢啲嘢好抵钱	这些东西很值钱
呢啲嘢好湿滞㗎	这些东西很伤胃的
呢啲嘢好热气，唔好食咁多	这些东西吃了容易上火，别吃这么多
呢啲嘢好花假嘅	这些东西真是虚有其表
呢啲嘢好贵个噃	这些东西很贵的
呢啲嘢好闲啫，要唔要都冇所谓	这些东西很平常，要不要无所谓
呢啲嘢平夹靓	这些东西又便宜又好
呢啲嘢放埋啲	这东西放靠里一点
呢啲嘢话得埋嘅咩！	这些事怎么可以预料的呢！
呢啲嘢通街都有得卖	这些东西满街都有卖的
呢啲嘢离开海水就唔新鲜喇	这些东西离开海水就不鲜了
呢啲嘢食一碗就够皮	这些东西吃一碗就够了
呢啲嘢食到厌喇，换吓口味啦！	这些东西吃得腻了，换换口味吧！
呢啲嘢，睇相佬乱噏出嚟嘅啫！	这个，看相的胡扯罢了！
呢啲噉嘅场合我哋见惯㗎啦	我们见惯这种场面了
呢啲天时，一日洗两次身都唔得！	这样的天气，一天洗两次澡都还不行！
呢啲天气至啱去旅行	这种天气最适合去旅行
呢啲字写得真核突	这些字写得真难看
呢啲小事唔使咁扤失嘅	这些小事用不着那么斤斤计较
呢啲小事唔咁扤失嘅	这些小事用不着那么斤斤计较
呢啲收尾仲系我自己跟翻好啲	这些善后的工作还是我自己跟进比较好
呢啲曳嘢冇人吼	这些次货没人光顾
呢啲书我仲爱㗎	这些书我还要呢
呢啲月饼太耨喉喇	这些月饼太腻人了
呢啲月饼硬角角，好食都有限啦	这些月饼硬邦邦的，好吃不了
呢啲柑两毫子一斤真抵	这些桔子两毛钱一斤真便宜
呢啲柿仲有啲劫	这些柿子还有点儿涩
呢啲树樖樖都咁高	这些树棵棵都一般高
呢啲档案系佢揸手嘅	这些档案是他负责的
呢啲泥路，一落雨就腍啤啤！	这些黄泥路，一下雨就是一片稀烂！
呢啲浆糊好黐	这些糨糊很黏
呢啲瓷器系江西景德镇嘅正斗货	这些瓷器是江西景德镇的正牌货
呢啲产品乜咁鲊㗎？	这些产品的质量为什么那么差？
呢啲相真系肉酸！	这些照片真肉麻！
呢啲谷嚟唔切晒，有啲沤咗咯	这些稻谷来不及晒干，有一些霉烂了
呢啲米糠糠哋	这些米有点霉味
呢啲粗重嘢等我做啦！	这些重活让我来做！
呢啲旧礼唔使拘执啰	这些旧礼法不必计较了
呢啲花系你绣㗎？真系好心机呀！	这些花儿是你绣上去的？真够细心的！
呢啲茶叶系正牌普洱嚟㗎，唔信你试吓啦	这些茶叶是正宗的普洱茶，不信你试试看
呢啲菜真老，食落去哽心哽肺	这些菜真老，吃了下去肚子硌得难受
呢啲蔗唔甜，噍起嚟得棚渣	这些甘蔗不甜，嚼起来只有一把蔗渣
呢啲药只系医损手烂脚	这些药只能医治手脚破损
呢啲苹果好平	这些苹果很便宜
呢啲苹果有啲酸微微	这些苹果有点酸溜溜的
呢啲诗佢背到烂熟	这些诗他背得滚瓜烂熟
呢啲话唔好立乱讲呀	这些话不要随便说
呢啲资料真系好废	这些资料真没用
呢啲都系我哋应该学习嘅地方！	这些也是我们应该学习的地方！
呢啲饼好实，咬都咬唔入	这些饼很硬，啃也啃不动
呢啲盐白蒙蒙噉，真干净	这些盐雪白雪白的，真干净
呢单嘢又揾边个孭镬？	这件事该找谁当替罪羊？
呢单嘢好棘手㗎，闲闲哋嘥你两三日都唔一定做得完	这活儿挺麻烦的，你泡上两三添工夫也不见得能把它干完
呢单嘢好论尽，净系赔偿损失都怕未得	这事很麻烦，光是赔偿损失恐怕还不行
呢单嘢几择使吓	这件事挺麻烦的
呢单嘢成唔成好难讲，睇嚟凑啦	这件事成功不成功很难说，看着办吧
呢单嘢有着数，制得过	这件事有便宜，干得过
呢单嘢畀佢搅到埚晒	这件事全给他搞糟了
呢单嘢真系择使	这玩意真伤脑筋
呢单嘢真揦手	这件事很难办
呢单嘢要做得干手净脚啲呀	这件事要做得干净利索一点
呢单嘢边个跟㗎？	这件事谁负责？
呢单嘢都几恶作个噃	这件事相当棘手
呢单嘢都几恶作噃	这件事相当难办啊
呢单工程差唔多埋尾喇	这桩工程差不多收尾了
呢单工程已经做到七七八八	这个工程已经快完成了
呢单案证据唔够，要周围去搲多啲料先得	这件案子证据不足，要到处去多搜集一些材料才行
呢单生意倾咗半年，到而家仲系吊吊揈	这桩生意谈了半年，到现在仍然没有着落
呢单生意几大照杀	这桩生意怎么着都照接
呢单生意几大都照杀	这桩生意无论如何都要接下来
呢单生意睇嚟都系冻过水㗎喇	这桩生意看来是没希望了
呢嗰仔咁烂瞓，叫都叫唔醒	这孩子真爱睡，叫都叫不醒
呢埲墙通窿嘅	这堵墙是穿孔的
呢堆嘢两份啦	这堆东西一人一半
呢堆禾秆太罨汁，要打开晒吓佢	这堆稻草太潮湿，要打开晒一晒
呢场波你够落力，真系搏尽咯	这场球你真卖力，确实尽力拼搏
呢场波佢哋畀人拼沉晒	这场球赛他们全给人打输了
呢场波佢真系威水，居然独得三十分	这场球他真是威风八面，居然独得三十分
呢场波大家都认为系五五波	这场球大家都认为双方势均力敌
呢场球赛真够劲	这场球赛真带劲
呢块木板干咗就殽晒	这块木板干了之后就翘棱了
呢块板未刨过，太嚡喇	这块板没刨过，太粗糙了
呢块石头三尖八角，冇乜用	这块石头形状不规则，没多大用处
呢套影片卖埠嘅收入几好	这部片子出口的收入挺高的
呢套戏睇得吖	这不电影倒可以看看
呢套片喺黄金档期上演，捞到盘满钵满	这个片子在黄金放映期上映，大大捞了一笔
呢封信唔该你送畀老王	这封信劳驾你送给老王
呢对鞋做得好潇湘	这双鞋做得很秀气
呢对鞋眞系化学	这双鞋子真不耐穿
呢层我知	这点我清楚
呢幅明朝花鸟画系坚料	这幅明朝花鸟画是真的
呢幅画最好飞边	这幅画最好去掉边儿
呢幅画睇极都唔厌	这幅画百看不厌
呢几个女仔好㨘镜	这几个女孩好漂亮
呢几年佢哋嘅生意风生水起，越做越大	这几年他们的生意很有生气，越做越大
呢几年佢扎得好快	这几年他冒升得挺快
呢几年我帮你咁多	这几年我帮了你不少
呢几张枱由我包起	这几张桌子我包了
呢几日我都谂通咗啲嘢	这几天我也想通了一些事情
呢几日落大雪，边度都冇去，白白浪费咗几日	这几天下了大雪，哪里都没去，白白浪费了几天
呢几日猪肉好烂市	这几天猪肉很滞销
呢几日频频扑扑为乜呀？	这几天到处奔波为什么？
呢几樖竹几靓！	这几棵竹子多好！
呢几只烂碗就叫文物？缸瓦咋啩	这几只烂碗就叫文物？破瓷片而已吧？
呢度乜嘢都系我一脚踢	这里什么事情都是我一个人干
呢度乜都好，惟独是冬天太冻	这里什么都好，只是冬天太冷
呢度交通规则唔同	这里交通规则不同
呢度布置得唔错呀	这儿布置得不错啊
呢度系乜地方？	这是什么地方？
呢度系问讯处，有乜嘢事？	这是闻讯处，有什么事吗？
呢度系年青人嘅新蒲点	这里是年轻人的最新娱乐场所
呢度系我话事	这儿是我说了算
呢度系禁区，唔准落客	这里是禁区，不许乘客下车
呢度系边个揸弗㗎？	这里是谁说了算？
呢度系边度？	这里是什么地方？
呢度入便几阔落㗎	这里头挺宽畅的
呢度两年冇嚟就变晒，我几回荡失路添！	这儿两年没来就全变了，我几乎迷路了！
呢度冇乜好玩	这里不怎么好玩
呢度冇呢个人	这里没这个人
呢度冇埞坐	这里没地方坐
呢度冇得畀你做太子爷㗎	在这儿你可不能白吃饭
呢度冬天咁冻，我顶唔住	这里冬天那么冷，我受不了
呢度又够养得鱼喇	这儿不也是能养鱼吗
呢度咁㷫呀！	这里那么热闹！
呢度咁多位都系我嘅老师	这里诸位都是我的老师
呢度咁热，走罢啦	这里挺热的，还是走吧
呢度咁背，夜晚经过要小心！	这里挺偏僻的，晚上经过要小心啊！
呢度唔使畀贴士	这里不必给小费
呢度唔准泊车	这里不准停车
呢度唔准泊车，要泊就泊入停车场	这儿不准停车，要停就停在停车场
呢度唔准泊车	这里不准停车
呢度唔准食烟㗎	这里不准抽烟
呢度啲嘢又平又靓	这里的货又便宜又好
呢度啲嘢又平又靓	这里的货可是货真价实
呢度啲嘢好抵食，十五蚊就有交易	这里的食物挺便宜的，十五块钱就能买到
呢度啲嘢都几贵㗎㖞	这里的东西也挺贵的
呢度啲蚊针人零舍痕	这里的蚊子叮人特别痒
呢度嘅温泉，要除到光脱脱噉浸先舒服㗎	这儿的温泉，要脱得赤条条地泡才舒服的
呢度嘅炒牛河最好食嘅	这里的炒牛肉河粉最好吃的
呢度嘅风景好靓呀	这里的风景很美
呢度嘈喧巴闭，冇办法睇书	这里闹哄哄的，没办法看书
呢度嘢平，钱好见使	这里东西便宜，钱很耐花
呢度嘢贵	这里东西贵
呢度夜晚黑好静㗎	这儿夜里很静的
呢度大大话话都有一千人	这里粗略估计都有一千人
呢度天时冷都唔使着棉衲	这里冬天也不用穿棉袄
呢度太背角，人嚟得少	这里太偏僻了，人来得少
呢度好多人！	这里人很多
呢度好多倔头路，唔容易行得出去	这里很多死胡同，不容易出去
呢度好多车子行，泥尘好大	这里很多汽车经过，尘土很多
呢度好少有鼠摸嘅	这儿很少有小偷
呢度好挤拥，顾住自己个荷包	这里人多拥挤，留意自己的钱包
呢度好热吖嘛	这里很热嘛
呢度好近街市	这里离菜市场很近
呢度几时可以食饭？	这儿什么时候可以用餐？
呢度得三个人嘅啫	这儿才三个人而已
呢度得三个人嘅嗻	这里才三个人而已
呢度得佢一个人咋	这里只剩下他一个人了
呢度成条街嘅摊档都系卖女人嘢嘅	这儿满街的摊儿都是卖女性用品
呢度放一张床唔够埞方	这里放一张床地方不够
呢度有人照管，你唔使成日顾住嘅	这儿有人照料，你不必总记挂着
呢度未试过落雪	这里没有下过雪
呢度本钱咁少，都唔够个铺位半年嘅使费	这里的本钱这么少，还不够这个摊位半年的开销
呢度治安唔错，冇乜鼠摸	这里治安不错，没什么小偷
呢度凉浸浸噉，真舒服	这里凉嗖嗖的，真舒服
呢度真系唔错	这里真不错
呢度睇落好幽静	这里看来很幽静
呢度卖咩呀，咁多人排队？	这里在卖什么，这么多人排队？
呢度卖鸡蛋断只卖定断斤卖？	这里卖鸡蛋是论个儿卖还是论斤卖？
呢度赖咗个问号	这儿漏了个问号
呢度近街，成日都好墟冚	这里近街，整天都很吵闹
呢度门好密实	这门很严实
呢度门闩唔冚	这扇门关不严
呢度顶笼坐三十人	这里顶多坐三十个人
呢度顶笼坐三十人	这里顶多坐三十个人
呢度风水唔错㖞！	这里风水蛮好的嘛！
呢度风凉水冷，住喺呢度几好丫	这儿凉爽宜人，住在这儿挺不错的
呢度食餐呢，真系好揦脷㗎	在这里吃饭真的很昂贵
呢张系我嘅卡片	这是我的名片
呢张凳系我坐开嘅	这张椅子是我坐的
呢张凳喐喐贡，提啲铁线嚟抓住佢先稳阵	这把椅子摇摇晃晃的，拿点铁丝把它捆着才平稳
呢张凳好儿戏，唔坐得㗎！	这张凳子很不牢固，不能坐！
呢张凳真化学，一坐就烂	这把椅子真不结实，一坐就坏
呢张刀生晒鍟	这把刀长满了锈
呢张图画系呢几个塞豆珑画畀你㗎	这张图画是这几个小家伙画给你的
呢张书枱系夜冷货	这张书桌是翻新的旧货
呢张枱咁大，太挜拃喇	这张桌子那么大，太碍事了
呢张枱好硬挣	这张桌子很结实
呢张枱好硬净	这张桌子很结实
呢张枱有两个柜桶	这张桌子有两个抽屉
呢张枱有啲喐动	这张桌子有点动
呢张枱有啲斜	这张桌子有点倾斜
呢张枱有四揇几长	这张桌子有四拃多长
呢张枱，立立乱	这张桌子，乱七八糟
呢张相系我哋喺台湾影嘅	这张照片是我们在台湾拍的
呢张纸好豆泥	这张纸质量很差
呢张纸巢𠵼𠵼，唔写得字	这张纸皱皱的，不能写字
呢批嘢入数未㗎？	这批东西入账了没有？
呢批货好曳	这批货很差
呢批货好正，唔系流嘢嚟㗎	这批货很好，不是次货
呢把檀香扇做得好骨致	这把檀香扇做得很精致
呢把万用刀切嘢、开罐头、剪指甲，样样都使得	这把万能刀切东西、开罐头、剪指甲，样样都行
呢把电须刨点使㗎？	这个电动剃须刀怎么用？
呢招真系万试万灵	这一招真是屡试不爽
呢排中港两边走，成日系咁频频扑扑	这段时间内地香港两边跑，经常都这样奔波劳碌的了
呢排你个面口好咗好多喇	最近你的脸色好了很多了
呢排佢冇搅你，唔通佢策划紧大反击？	最近他没有搞你，难道他在策划大反击？
呢排佢成日咳，心口又痛，我怀疑佢个肺有问题	这一阵子他整天咳嗽，又胸口疼，我怀疑他的肺部有问题
呢排做到七彩噉	这阵子干活累得头晕眼花
呢排做到金睛火眼	这些天忙得不亦乐乎
呢排做得都几好	最近做得非常好
呢排冇落雨乜滞	近来不怎么下雨
呢排咁好天，去行吓街啦	最近天气这么好，去逛逛街吧
呢排唔见佢嚟乜滞	最近似乎没有看见他来
呢排啲运气衰到极	这阵子的运气坏极了
呢排喺边度蒲多呀？	最近多在哪儿蹓跶？
呢排好热	最近很热
呢排好瘀	这阵子真背
呢排我好唔得闲	近来我很忙
呢排我好少出街	最近我很少上街
呢排我都好忙	最近我也很忙
呢排晚晚加班，做到一只屐噉	这阵子每天晚上都加班，干得累成一滩泥
呢排有啲躁，成晚瞓唔着	最近有点烦躁，整夜睡不着
呢排发书寒	这阵子真想看书
呢排白菜好耨喉	近来白菜很滞销
呢排白菜烂贱到鬼噉	最近白菜贱极了
呢排的西瓜多到烂市	这阵子西瓜多得都滞销了
呢排真系黑	这些日子真倒霉
呢排真系黑	这些日子运气真坏
呢排赶工成日开夜	这些天赶活老要开夜车
呢排点呀？	最近怎么样？
呢担嘢一便轻一便重，唔戥头	这挑东西一头轻一头重，不平衡
呢支系佢嘅首本名曲	这首是她的代表名曲
呢支枪有啲湆，要擦油喇	这支枪有点涩，要擦油了
呢本书你睇开就畀你睇埋先啦	这本书你正在看着就先让你看完吧
呢本书系你嘅？	这本书是你的？
呢本书借畀我睇下先，吓？	这本书先借给我看，啊？
呢本书唔及得嗰本书好睇	这本书比不上那本书好看
呢本书唔好睇乜滞	这本书不怎么好看
呢本书我一日睇晒	这本书我一天看完
呢本书我贪得意买嚟睇吓啫	这本书我是好奇才买来看看
呢本书有得借吖嘛？	这本书有外借的吗？
呢本书有得借吗？	这本书有外借的吗？
呢本书边位嘅？	这本书谁的？
呢本相簿几多钱？	这本照相册多少钱？
呢本都唔系广东话，系香港话先啱	这本书不是广东话，是香港话才对
呢杯奶茶至啱我！	这杯奶茶最适合我！
呢枝毛笔唔好写，咪换过枝啰	这枝笔不好写，就另外换一枝吧
呢架单车畀人撞到甩皮甩骨，仲行唔行德㗎？	这辆自行车被撞得断胳膊缺腿的，还能骑吗？
呢架机器好择使㗎	这台机器很不好用
呢架机器有乜嘢用呀？	这架机器有什么用？
呢架机器有啲神神地	这台机器有点不正常
呢架烂车唔抵得几多钱	这辆破车值不了多少钱
呢架玩具跑车几骨致	这辆玩具跑车挺精致的
呢架车停喺呢度好阻埞	这辆车停在这里很碍事
呢架车好悭油	这辆车很省油
呢条系受力梁	这根是承重梁
呢条冷巷好窄	这条过道很窄
呢条友喺度滚红滚绿，事情都畀佢搅堝晒	这家伙在这里瞎捣乱，事情全给他搞坏了
呢条友想探盘，唔好同佢倾咁多嘢	这小子想摸底，别跟他聊那么多
呢条友成日迟到，真冇收！	这个人整天迟到，真没办法！
呢条友真系势凶夹狼，居然咁大手购入我哋公司嘅股份	这老兄野心不小，居然这么大量地购入我们公司的股份
呢条友真系势凶夹狼，居然咁大手购入我哋公司嘅股份	这老兄野心不小，居然这么大量地购入我们公司的股份
呢条友讲嘢神神化化	这小子说话古古怪怪的
呢条友通天嘅，讲嘢小心啲	这小子跟头儿挺熟，说话小心点儿
